Cycle #,Range,Mean,Count,Start Index,End Index,N_f,Damage
1,2.129999999999927e-06,0.002767515,1.0,133,134,1000000.0,1e-06
2,3.3400000000001137e-06,0.00272872,1.0,150,151,1000000.0,1e-06
3,6.390000000000215e-06,0.002729835,1.0,311,312,1000000.0,1e-06
4,1.3369999999999962e-05,0.00273054,1.0,63,64,1000000.0,1e-06
5,1.360000000000033e-05,0.00273054,1.0,63,64,1000000.0,1e-06
6,1.516999999999968e-05,0.00273054,1.0,63,64,1000000.0,1e-06
7,1.6079999999999914e-05,0.00273054,1.0,63,64,1000000.0,1e-06
8,1.704999999999979e-05,0.00273054,2.0,63,64,1000000.0,2e-06
9,1.7520000000000036e-05,0.00273054,1.0,63,64,1000000.0,1e-06
10,2.2630000000000913e-05,0.002808095,1.0,9,10,1000000.0,1e-06
11,2.3959999999999954e-05,0.002808095,1.0,9,10,1000000.0,1e-06
12,2.4050000000000286e-05,0.002808095,1.0,9,10,1000000.0,1e-06
13,2.538000000000019e-05,0.002808095,1.0,9,10,1000000.0,1e-06
14,2.8700000000000427e-05,0.002809285,1.0,10,11,1000000.0,1e-06
15,2.8809999999999773e-05,0.002809285,1.0,10,11,1000000.0,1e-06
16,3.1429999999999826e-05,0.002747605,1.0,7,8,1000000.0,1e-06
17,3.578000000000001e-05,0.002747605,1.0,7,8,1000000.0,1e-06
18,3.622999999999994e-05,0.002747605,1.0,7,8,1000000.0,1e-06
19,3.737000000000011e-05,0.002747605,1.0,7,8,1000000.0,1e-06
20,3.791999999999988e-05,0.002747605,1.0,7,8,1000000.0,1e-06
21,4.094000000000016e-05,0.002747605,1.0,7,8,1000000.0,1e-06
22,4.652999999999992e-05,0.00279143,1.0,15,16,1000000.0,1e-06
23,4.91799999999998e-05,0.00279143,1.0,15,16,1000000.0,1e-06
24,5.119999999999951e-05,0.00279143,1.0,15,16,1000000.0,1e-06
25,5.230000000000035e-05,0.00279143,1.0,15,16,1000000.0,1e-06
26,5.275000000000028e-05,0.00279143,1.0,15,16,1000000.0,1e-06
27,5.4950000000000224e-05,0.00279143,1.0,15,16,1000000.0,1e-06
28,5.7660000000000176e-05,0.00279143,1.0,15,16,1000000.0,1e-06
29,7.227000000000058e-05,0.00277445,1.0,8,9,1000000.0,1e-06
30,8.245999999999991e-05,0.00277445,1.0,8,9,1000000.0,1e-06
31,8.386000000000027e-05,0.00277445,1.0,8,9,1000000.0,1e-06
32,8.717000000000013e-05,0.00277445,1.0,8,9,1000000.0,1e-06
33,8.880999999999993e-05,0.00277445,1.0,8,9,1000000.0,1e-06
34,9.252000000000002e-05,0.00277445,1.0,8,9,1000000.0,1e-06
35,9.320999999999982e-05,0.00277445,1.0,8,9,1000000.0,1e-06
36,9.515999999999996e-05,0.00277445,1.0,8,9,1000000.0,1e-06
37,9.560000000000036e-05,0.00277445,1.0,8,9,1000000.0,1e-06
38,9.564000000000012e-05,0.00277445,1.0,8,9,1000000.0,1e-06
39,9.905000000000028e-05,0.00277445,1.0,8,9,1000000.0,1e-06
40,9.908000000000007e-05,0.00277445,1.0,8,9,1000000.0,1e-06
41,0.00010939,0.00276687,1.0,21,22,1000000.0,1e-06
42,0.00011601,0.00276687,1.0,21,22,1000000.0,1e-06
43,0.00011618,0.00276687,1.0,21,22,1000000.0,1e-06
44,0.00011756,0.00276687,1.0,21,22,1000000.0,1e-06
45,0.0001185399999999,0.00276687,1.0,21,22,1000000.0,1e-06
46,0.0001258999999999,0.00273651,1.0,29,31,1000000.0,1e-06
47,0.0001262799999999,0.00273651,1.0,29,31,1000000.0,1e-06
48,0.00013276,0.002801565,1.0,24,25,1000000.0,1e-06
49,0.00013347,0.002801565,1.0,24,25,1000000.0,1e-06
50,0.00014969,0.00280089,1.0,22,24,1000000.0,1e-06
51,0.00015247,0.00280089,1.0,22,24,1000000.0,1e-06
52,0.00015311,0.00280089,1.0,22,24,1000000.0,1e-06
53,0.0001583399999999,0.00280089,1.0,22,24,1000000.0,1e-06
54,0.00016011,0.00280089,1.0,22,24,1000000.0,1e-06
55,0.00016589,0.00280089,1.0,22,24,1000000.0,1e-06
56,0.0001761,0.00280089,1.0,22,24,1000000.0,1e-06
57,0.00018648,0.00280089,1.0,22,24,1000000.0,1e-06
58,0.00019525,0.00280089,1.0,22,24,1000000.0,1e-06
59,0.00022375,0.0027527,1.0,51,53,1000000.0,1e-06
60,0.00022605,0.0027527,1.0,51,53,1000000.0,1e-06
61,0.0003150599999999,0.0027673,1.0,268,269,1000000.0,1e-06
62,0.00034986,0.002596185,1.0,193,196,1000000.0,1e-06
63,0.0003694099999999,0.002596185,1.0,193,196,1000000.0,1e-06
64,0.00039925,0.002568965,1.0,106,109,1000000.0,1e-06
65,0.00047183,0.002568965,1.0,106,109,1000000.0,1e-06
66,0.00050187,0.002568965,1.0,106,109,1000000.0,1e-06
67,0.00056521,0.00247024,1.0,2,4,1000000.0,1e-06
68,0.0005748199999999,0.0025037199999999,1.0,0,2,1000000.0,1e-06
69,0.00057632,0.0025037199999999,1.0,0,2,1000000.0,1e-06
70,0.00059973,0.0025037199999999,1.0,0,2,1000000.0,1e-06
71,0.0006247499999999,0.0025037199999999,1.0,0,2,1000000.0,1e-06
72,0.0006480399999999,0.0025037199999999,1.0,0,2,1000000.0,1e-06
73,0.0006642699999999,0.0025037199999999,1.0,0,2,1000000.0,1e-06
74,0.00066696,0.0025037199999999,1.0,0,2,1000000.0,1e-06
75,0.0007028,0.0025037199999999,1.0,0,2,1000000.0,1e-06
76,0.0007031999999999,0.0025037199999999,1.0,0,2,1000000.0,1e-06
77,0.00070502,0.0025037199999999,1.0,0,2,1000000.0,1e-06
78,0.00074297,0.0025037199999999,1.0,0,2,1000000.0,1e-06
79,0.00075186,0.0025037199999999,1.0,0,2,1000000.0,1e-06
80,0.00076241,0.0025037199999999,1.0,0,2,1000000.0,1e-06
81,0.00076368,0.0025037199999999,1.0,0,2,1000000.0,1e-06
82,0.0007649699999999,0.0025037199999999,1.0,0,2,1000000.0,1e-06
83,0.0007688899999999,0.0025037199999999,1.0,0,2,1000000.0,1e-06
84,0.0007737,0.0025037199999999,1.0,0,2,1000000.0,1e-06
85,0.00079209,0.0025037199999999,1.0,0,2,1000000.0,1e-06
86,0.0007954899999999,0.0025037199999999,1.0,0,2,1000000.0,1e-06
87,0.0008508399999999,0.0025037199999999,1.0,0,2,1000000.0,1e-06
88,0.00086008,0.0023647699999999,1.0,17,20,1000000.0,1e-06
89,0.00086966,0.0023647699999999,1.0,17,20,1000000.0,1e-06
90,0.0008698899999999,0.0023647699999999,1.0,17,20,1000000.0,1e-06
91,0.00088213,0.0023647699999999,1.0,17,20,1000000.0,1e-06
92,0.00088659,0.0023647699999999,1.0,17,20,979469.6670695386,1.0209606623060475e-06
93,0.00090172,0.0023647699999999,1.0,17,20,864842.3275731726,1.1562801312073753e-06
94,0.0009390599999999,0.0023647699999999,1.0,17,20,620572.8806776501,1.6114142772530197e-06
95,0.00095439,0.0023647699999999,1.0,17,20,547947.2336900282,1.824993244816154e-06
96,0.00096495,0.0023647699999999,1.0,17,20,504315.9487171359,1.9828839491270713e-06
97,0.00097124,0.0023647699999999,1.0,17,20,473887.9609717651,2.1102034285685966e-06
98,0.0011121299999999,0.0023374349999999,0.5,66,68,167967.48720926532,2.976766565407185e-06
99,0.00120336,0.002137705,0.5,139,142,93966.48314954691,5.321046220323623e-06
100,0.00132885,0.002137705,1.0,139,142,47388.79609717651,2.1102034285685963e-05
101,0.00185425,0.00192222,1.0,32,33,6742.622241778342,0.00014831025143361044
102,0.002369208,0.0014120684,1.0,4,5,2292.7693128656488,0.0004361537789208006
103,0.0025106759999999,0.0014120684,1.0,4,5,1824.9932448161524,0.0005479472336900287
104,0.0025776339999999,0.0014120684,1.0,4,5,1645.1905877536624,0.000607832312829723
105,0.002668613,0.0014120684,1.0,4,5,1452.6539259467813,0.0006883952069645496
106,0.0027119809999999,0.0014120684,1.0,4,5,1393.6192742241421,0.0007175560918936928
107,0.0027799623,0.0014120684,1.0,4,5,1256.3166024741201,0.0007959777002314986
108,0.002784533,0.0014120684,1.0,4,5,1256.3166024741201,0.0007959777002314986
109,0.0028313431999999,0.0014120684,0.5,4,5,1180.5165285688056,0.0004235434133278701
110,0.0028364744,0.0014120684,1.0,4,5,1180.5165285688056,0.0008470868266557402
111,0.0028552616,0.0014120684,1.0,4,5,1156.2801312073755,0.0008648423275731726
112,0.0029108932,0.0014120684,0.5,4,5,1086.5157746525383,0.0004601865998309111
