Cycles,RemainingUsefulLife_Multiplier10
0.000000000000000000e+00,3.153619193756309687e+04
0.000000000000000000e+00,3.146741879113139657e+04
1.166666666666666607e+01,3.137665289044848032e+04
2.333333333333333215e+01,3.122971846909087253e+04
3.500000000000000000e+01,3.111119531271783853e+04
4.666666666666666430e+01,3.103118796792225112e+04
5.833333333333332860e+01,3.095670407859863190e+04
7.000000000000000000e+01,3.088976551921933060e+04
8.166666666666665719e+01,3.084004962215066189e+04
9.333333333333332860e+01,3.079570539187065515e+04
1.050000000000000000e+02,3.075365446153877565e+04
1.166666666666666572e+02,3.071978839985432205e+04
1.283333333333333144e+02,3.069075668663383840e+04
1.400000000000000000e+02,3.066307132904365790e+04
1.516666666666666572e+02,3.063750700215360484e+04
1.633333333333333144e+02,3.061370755599555196e+04
1.750000000000000000e+02,3.059032691888308545e+04
1.866666666666666572e+02,3.056756162732624944e+04
1.983333333333333144e+02,3.054606172446354685e+04
2.100000000000000000e+02,3.052689099593514402e+04
2.216666666666666572e+02,3.050860029841822688e+04
2.333333333333333144e+02,3.049106049005222667e+04
2.450000000000000000e+02,3.047481509048353837e+04
2.566666666666666288e+02,3.045911856698487099e+04
2.683333333333333144e+02,3.044611918991115817e+04
2.800000000000000000e+02,3.043499746590271025e+04
2.916666666666666288e+02,3.042668058571972870e+04
3.033333333333333144e+02,3.041936973309509995e+04
3.150000000000000000e+02,3.041395844289494562e+04
3.266666666666666288e+02,3.041046173558520968e+04
3.383333333333333144e+02,3.040857004938692262e+04
3.500000000000000000e+02,3.040748759302843973e+04
3.616666666666666288e+02,3.040684428927233239e+04
3.733333333333333144e+02,3.040629535500873317e+04
3.850000000000000000e+02,3.040577790821694362e+04
3.966666666666666288e+02,3.040526814147457480e+04
4.083333333333333144e+02,3.040478742653812878e+04
4.200000000000000000e+02,3.040437103863720404e+04
4.316666666666666288e+02,3.040400311639793654e+04
4.433333333333333144e+02,3.040363519415866176e+04
4.550000000000000000e+02,3.040326727191939062e+04
4.666666666666666288e+02,3.040289934968011949e+04
4.783333333333333144e+02,3.040253142744084835e+04
4.900000000000000000e+02,3.040216350520157357e+04
5.016666666666666288e+02,3.040179558296230607e+04
5.133333333333332575e+02,3.040142766072303493e+04
5.250000000000000000e+02,3.040105973848376016e+04
5.366666666666666288e+02,3.040069181624448902e+04
5.483333333333332575e+02,3.040032389400521788e+04
5.600000000000000000e+02,3.039995597176594674e+04
5.716666666666666288e+02,3.039958804952667560e+04
5.833333333333332575e+02,3.039922012728740447e+04
5.950000000000000000e+02,3.039885220504812969e+04
6.066666666666666288e+02,3.039848428280886219e+04
6.183333333333332575e+02,3.039811636056958741e+04
6.300000000000000000e+02,3.039774843833031628e+04
6.416666666666666288e+02,3.039738051609104514e+04
6.533333333333332575e+02,3.039701259385177400e+04
6.650000000000000000e+02,3.039664467161250286e+04
6.766666666666666288e+02,3.039627674937323172e+04
6.883333333333332575e+02,3.039590882713395695e+04
7.000000000000000000e+02,3.039554090489468581e+04
7.116666666666666288e+02,3.039517298265541831e+04
7.233333333333332575e+02,3.039480506041614353e+04
7.350000000000000000e+02,3.039443713817687239e+04
7.466666666666666288e+02,3.039406921593760126e+04
7.583333333333332575e+02,3.039370129369832648e+04
7.700000000000000000e+02,3.039333337145905534e+04
7.816666666666666288e+02,3.039296544921978784e+04
7.933333333333332575e+02,3.039259752698051307e+04
8.050000000000000000e+02,3.039222960474124193e+04
8.166666666666666288e+02,3.039186168250196715e+04
8.283333333333332575e+02,3.039149376026269965e+04
8.400000000000000000e+02,3.039112583802342488e+04
8.516666666666666288e+02,3.039075791578415738e+04
8.633333333333332575e+02,3.039038999354488260e+04
8.750000000000000000e+02,3.039002207130561146e+04
8.866666666666666288e+02,3.038965414906634032e+04
8.983333333333332575e+02,3.038928622682706919e+04
9.100000000000000000e+02,3.038891830458779805e+04
9.216666666666666288e+02,3.038855038234852327e+04
9.333333333333332575e+02,3.038818246010925213e+04
9.450000000000000000e+02,3.038781453786998100e+04
9.566666666666666288e+02,3.038744661563071350e+04
9.683333333333332575e+02,3.038707869339143872e+04
9.800000000000000000e+02,3.038671077115216758e+04
9.916666666666666288e+02,3.038634284891289280e+04
1.003333333333333258e+03,3.038597492667362530e+04
1.015000000000000000e+03,3.038560700443435053e+04
1.026666666666666515e+03,3.038523908219508303e+04
1.038333333333333258e+03,3.038487115995580825e+04
1.050000000000000000e+03,3.038450323771653711e+04
1.061666666666666515e+03,3.038413531547726598e+04
1.073333333333333258e+03,3.038376739323799120e+04
1.085000000000000000e+03,3.038339947099872006e+04
1.096666666666666515e+03,3.038303154875945256e+04
1.108333333333333258e+03,3.038266362652017779e+04
1.120000000000000000e+03,3.038229570428090665e+04
1.131666666666666515e+03,3.038192778204163551e+04
1.143333333333333258e+03,3.038155985980236073e+04
1.155000000000000000e+03,3.038119193756308960e+04
